읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김윤덕,정의당염경석,국가혁명배당금당하태윤,기독자유통일당허성진,무소속김광수,무소속이범석,계,무효투표수,기권수
합계,,145862,93635,67849,5634,672,1676,15384,1005,92220,1415,52227
거소·선상투표,,463,439,267,28,13,7,62,15,392,47,24
관외사전투표,,12626,12620,9457,888,102,146,1685,140,12418,202,6
국외부재자투표,,383,94,79,8,0,3,3,0,93,1,289
국외부재자투표(공관),,0,3,2,0,0,0,0,1,3,0,-3
중앙동,소계,6794,4325,3069,261,39,80,751,56,4256,69,2469
,관내사전투표,2210,2209,1604,118,16,28,385,28,2179,30,1
,중앙동제1투,1486,638,453,49,9,12,103,7,633,5,848
,중앙동제2투,1995,983,636,65,12,29,201,17,960,23,1012
,중앙동제3투,1103,495,376,29,2,11,62,4,484,11,608
풍남동,소계,4039,2424,1749,143,18,30,406,37,2383,41,1615
,관내사전투표,1184,1184,875,77,5,7,186,15,1165,19,0
,풍남동제1투,1328,552,380,34,4,17,91,11,537,15,776
,풍남동제2투,1527,688,494,32,9,6,129,11,681,7,839
노송동,소계,10412,6248,4494,378,65,96,1066,74,6173,75,4164
,관내사전투표,2555,2553,1893,130,22,29,436,20,2530,23,2
,노송동제1투,1941,945,656,57,6,17,178,19,933,12,996
,노송동제2투,1057,446,316,29,3,14,74,4,440,6,611
,노송동제3투,2051,1049,706,75,16,24,194,19,1034,15,1002
,노송동제4투,1510,708,512,49,13,7,107,4,692,16,802
,노송동제5투,1298,547,411,38,5,5,77,8,544,3,751
완산동,소계,4434,2639,2003,150,25,58,315,42,2593,46,1795
,관내사전투표,1125,1125,887,64,8,16,124,8,1107,18,0
,완산동제1투,1759,858,644,41,10,13,112,21,841,17,901
,완산동제2투,1550,656,472,45,7,29,79,13,645,11,894
동서학동,소계,5629,3570,2522,207,24,56,689,29,3527,43,2059
,관내사전투표,1692,1692,1248,100,11,14,289,17,1679,13,0
,동서학동제1투,1663,762,519,34,3,19,173,7,755,7,901
,동서학동제2투,832,375,244,27,7,5,84,1,368,7,457
,동서학동제3투,1442,741,511,46,3,18,143,4,725,16,701
서서학동,소계,7567,4655,3277,228,32,83,914,51,4585,70,2912
,관내사전투표,2229,2229,1639,115,14,25,386,21,2200,29,0
,서서학동제1투,1652,758,504,29,9,17,169,14,742,16,894
,서서학동제2투,1981,892,607,42,6,18,196,10,879,13,1089
,서서학동제3투,1705,776,527,42,3,23,163,6,764,12,929
중화산1동,소계,11833,7554,5379,434,43,227,1284,88,7455,99,4279
,관내사전투표,3469,3469,2639,178,14,42,534,31,3438,31,0
,중화산1동제1투,3051,1457,978,99,11,53,270,21,1432,25,1594
,중화산1동제2투,2840,1383,939,77,10,64,246,27,1363,20,1457
,중화산1동제3투,2473,1245,823,80,8,68,234,9,1222,23,1228
중화산2동,소계,14219,8373,6027,491,56,190,1364,101,8229,144,5846
,관내사전투표,3539,3537,2664,195,20,44,530,35,3488,49,2
,중화산2동제1투,2647,1460,935,93,11,52,317,23,1431,29,1187
,중화산2동제2투,3058,1044,762,52,8,25,157,21,1025,19,2014
,중화산2동제3투,2816,1267,904,83,11,35,195,12,1240,27,1549
,중화산2동제4투,2159,1065,762,68,6,34,165,10,1045,20,1094
평화1동,소계,11166,6607,4799,338,52,141,1077,75,6482,125,4559
,관내사전투표,3421,3419,2601,178,28,37,486,29,3359,60,2
,평화1동제1투,2618,1055,722,47,3,38,207,16,1033,22,1563
,평화1동제2투,2392,906,634,36,13,37,149,15,884,22,1486
,평화1동제3투,2735,1227,842,77,8,29,235,15,1206,21,1508
평화2동,소계,33216,21038,15137,1211,105,345,3795,166,20759,279,12178
,관내사전투표,7480,7479,5638,385,25,55,1250,40,7393,86,1
,평화2동제1투,2293,1078,724,85,5,23,208,17,1062,16,1215
,평화2동제2투,3021,1466,1035,64,7,46,282,13,1447,19,1555
,평화2동제3투,2002,901,632,54,13,13,156,10,878,23,1101
,평화2동제4투,3302,1910,1403,134,12,35,277,22,1883,27,1392
,평화2동제5투,1139,613,463,17,4,10,109,4,607,6,526
,평화2동제6투,4226,2260,1545,138,10,43,481,16,2233,27,1966
,평화2동제7투,2507,1304,928,86,12,21,226,13,1286,18,1203
,평화2동제8투,3535,1915,1296,127,10,54,380,15,1882,33,1620
,평화2동제9투,3711,2112,1473,121,7,45,426,16,2088,24,1599
인후3동,소계,23081,13040,9584,869,98,214,1972,130,12867,173,10041
,관내사전투표,5080,5080,3923,305,33,40,703,38,5042,38,0
,인후3동제1투,2900,965,669,58,9,24,160,24,944,21,1935
,인후3동제2투,2471,1066,792,79,7,18,148,2,1046,20,1405
,인후3동제3투,2133,1004,734,75,13,19,141,11,993,11,1129
,인후3동제4투,2289,1331,934,96,6,16,241,15,1308,23,958
,인후3동제5투,2966,1443,1017,117,7,31,244,8,1424,19,1523
,인후3동제6투,2814,1380,1000,85,10,33,211,16,1355,25,1434
,인후3동제7투,2428,771,515,54,13,33,124,16,755,16,1657
잘못 투입·구분된 투표지,,0,6,4,0,0,0,1,0,5,1,-6
