읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김학민,미래통합당홍문표,국가혁명배당금당윤상노,계,무효투표수,기권수
합계,,84568,52895,24080,27201,887,52168,727,31673
거소·선상투표,,220,203,80,108,8,196,7,17
관외사전투표,,4207,4206,2337,1729,68,4134,72,1
국외부재자투표,,142,39,29,9,0,38,1,103
국외부재자투표(공관),,0,0,0,0,0,0,0,0
홍성읍,소계,30579,17355,7935,8904,311,17150,205,13224
,관내사전투표,6269,6265,3216,2905,87,6208,57,4
,홍성읍제1투,2157,1095,401,660,20,1081,14,1062
,홍성읍제2투,2477,1309,550,713,29,1292,17,1168
,홍성읍제3투,3544,1483,722,713,31,1466,17,2061
,홍성읍제4투,2077,964,350,572,24,946,18,1113
,홍성읍제5투,3471,1419,571,791,41,1403,16,2052
,홍성읍제6투,2926,1406,486,880,19,1385,21,1520
,홍성읍제7투,3218,1481,679,760,26,1465,16,1737
,홍성읍제8투,4440,1933,960,910,34,1904,29,2507
광천읍,소계,7871,4713,1555,2975,99,4629,84,3158
,관내사전투표,2275,2274,821,1375,38,2234,40,1
,광천읍제1투,1674,667,195,447,18,660,7,1007
,광천읍제2투,2002,933,281,605,28,914,19,1069
,광천읍제3투,1920,839,258,548,15,821,18,1081
금마면,소계,3246,2053,832,1146,28,2006,47,1193
,관내사전투표,711,711,353,338,8,699,12,0
,금마면제1투,759,422,146,256,7,409,13,337
,금마면제2투,734,381,132,236,4,372,9,353
,금마면제3투,1042,539,201,316,9,526,13,503
홍동면,소계,3090,2048,890,1077,34,2001,47,1042
,관내사전투표,674,674,417,239,6,662,12,0
,홍동면제1투,881,453,183,242,10,435,18,428
,홍동면제2투,642,380,149,210,10,369,11,262
,홍동면제3투,893,541,141,386,8,535,6,352
장곡면,소계,2669,1650,576,1013,38,1627,23,1019
,관내사전투표,565,565,255,296,9,560,5,0
,장곡면제1투,967,486,161,304,11,476,10,481
,장곡면제2투,428,232,60,161,8,229,3,196
,장곡면제3투,709,367,100,252,10,362,5,342
은하면,소계,2182,1353,458,838,33,1329,24,829
,관내사전투표,544,544,223,300,12,535,9,0
,은하면제1투,1105,505,173,307,15,495,10,600
,은하면제2투,533,304,62,231,6,299,5,229
결성면,소계,2047,1403,431,921,26,1378,25,644
,관내사전투표,593,593,210,354,17,581,12,0
,결성면제1투,506,276,62,206,4,272,4,230
,결성면제2투,412,224,70,151,0,221,3,188
,결성면제3투,536,310,89,210,5,304,6,226
서부면,소계,2930,1793,570,1152,28,1750,43,1137
,관내사전투표,707,706,244,433,10,687,19,1
,서부면제1투,1109,519,162,331,11,504,15,590
,서부면제2투,1114,568,164,388,7,559,9,546
갈산면,소계,3271,2138,700,1370,36,2106,32,1133
,관내사전투표,892,892,331,540,9,880,12,0
,갈산면제1투,1469,726,213,490,14,717,9,743
,갈산면제2투,365,222,56,155,6,217,5,143
,갈산면제3투,545,298,100,185,7,292,6,247
구항면,소계,3352,2169,897,1181,59,2137,32,1183
,관내사전투표,949,949,486,429,24,939,10,0
,구항면제1투,1285,656,223,412,8,643,13,629
,구항면제2투,1118,564,188,340,27,555,9,554
홍북읍,소계,18762,11770,6789,4777,119,11685,85,6992
,관내사전투표,4672,4672,3034,1583,32,4649,23,0
,홍북읍제1투,1348,748,280,444,16,740,8,600
,홍북읍제2투,882,442,174,257,4,435,7,440
,홍북읍제3투,786,455,150,288,6,444,11,331
,홍북읍제4투,2434,1004,580,407,11,998,6,1430
,홍북읍제5투,2199,1190,668,496,16,1180,10,1009
,홍북읍제6투,2215,1108,660,435,9,1104,4,1107
,홍북읍제7투,4226,2151,1243,867,25,2135,16,2075
잘못 투입·구분된 투표지,,0,2,1,1,0,2,0,-2
